state,filed_week_ended,initial_claims,reflecting_week_ended,continued_claims,covered_employment,insured_unemployment_rate
California,2013-10-05,"71,602",9/28/2013,"428,705","14,692,916",2.92
California,2013-10-12,"83,383",10/5/2013,"375,783","14,813,922",2.54
California,2013-10-19,"70,350",10/12/2013,"399,840","14,813,922",2.7
California,2013-10-26,"65,890",10/19/2013,"442,939","14,813,922",2.99
California,2013-11-02,"63,422",10/26/2013,"426,251","14,813,922",2.88
California,2013-11-09,"68,159",11/2/2013,"384,958","14,813,922",2.6
California,2013-11-16,"63,515",11/9/2013,"411,257","14,813,922",2.78
California,2013-11-23,"71,841",11/16/2013,"459,808","14,813,922",3.1
California,2013-11-30,"51,921",11/23/2013,"360,981","14,813,922",2.44
California,2013-12-07,"73,797",11/30/2013,"505,600","14,813,922",3.41
California,2013-12-14,"78,419",12/7/2013,"486,723","14,813,922",3.29
California,2013-12-21,"72,990",12/14/2013,"497,644","14,813,922",3.36
California,2013-12-28,"58,355",12/21/2013,"411,286","14,813,922",2.78
California,2014-01-04,"54,871",12/28/2013,"472,222","14,813,922",3.19
California,2014-01-11,"63,190",1/4/2014,"526,165","14,948,302",3.52
California,2014-01-18,"74,898",1/11/2014,"526,131","14,948,302",3.52
California,2014-01-25,"72,535",1/18/2014,"488,316","14,948,302",3.27
California,2014-02-01,"62,904",1/25/2014,"515,291","14,948,302",3.45
California,2014-02-08,"64,049",2/1/2014,"549,507","14,948,302",3.68
California,2014-02-15,"69,881",2/8/2014,"545,367","14,948,302",3.65
California,2014-02-22,"64,908",2/15/2014,"531,405","14,948,302",3.55
California,2014-03-01,"59,143",2/22/2014,"546,744","14,948,302",3.66
California,2014-03-08,"57,881",3/1/2014,"545,757","14,948,302",3.65
California,2014-03-15,"61,070",3/8/2014,"542,770","14,948,302",3.63
California,2014-03-22,"52,345",3/15/2014,"504,565","14,948,302",3.38
California,2014-03-29,"69,971",3/22/2014,"534,434","14,948,302",3.58
California,2014-04-05,"56,079",3/29/2014,"482,835","14,948,302",3.23
California,2014-04-12,"65,292",4/5/2014,"469,187","15,023,327",3.12
California,2014-04-19,"62,405",4/12/2014,"475,987","15,023,327",3.17
California,2014-04-26,"61,168",4/19/2014,"486,463","15,023,327",3.24
California,2014-05-03,"57,455",4/26/2014,"471,942","15,023,327",3.14
California,2014-05-10,"49,804",5/3/2014,"451,843","15,023,327",3.01
California,2014-05-17,"54,281",5/10/2014,"446,698","15,023,327",2.97
California,2014-05-24,"53,111",5/17/2014,"431,112","15,023,327",2.87
California,2014-05-31,"51,167",5/24/2014,"402,159","15,023,327",2.68
California,2014-06-07,"61,102",5/31/2014,"425,034","15,023,327",2.83
California,2014-06-14,"61,772",6/7/2014,"416,501","15,023,327",2.77
California,2014-06-21,"62,327",6/14/2014,"414,824","15,023,327",2.76
California,2014-06-28,"55,033",6/21/2014,"409,662","15,023,327",2.73
California,2014-07-05,"51,025",6/28/2014,"390,393","15,023,327",2.6
California,2014-07-12,"62,151",7/5/2014,"419,338","15,136,344",2.77
California,2014-07-19,"55,929",7/12/2014,"421,331","15,136,344",2.78
California,2014-07-26,"54,180",7/19/2014,"416,442","15,136,344",2.75
California,2014-08-02,"44,936",7/26/2014,"416,489","15,136,344",2.75
California,2014-08-09,"55,043",8/2/2014,"423,628","15,136,344",2.8
California,2014-08-16,"46,272",8/9/2014,"399,371","15,136,344",2.64
California,2014-08-23,"47,139",8/16/2014,"405,581","15,136,344",2.68
California,2014-08-30,"48,702",8/23/2014,"390,512","15,136,344",2.58
California,2014-09-06,"37,734",8/30/2014,"348,517","15,136,344",2.3
California,2014-09-13,"43,003",9/6/2014,"365,470","15,136,344",2.41
California,2014-09-20,"51,833",9/13/2014,"386,612","15,136,344",2.55
California,2014-09-27,"44,118",9/20/2014,"370,329","15,136,344",2.45
California,2014-10-04,"45,943",9/27/2014,"350,650","15,136,344",2.32
